"ResponseId_W2","exp_group","condition","ideo_folded","pid_strength","ss1","ss2","ss3","ss4","ss5","ss6","ss_sum","compliance_level","WELL_FEELINGS_1","WELL_FEELINGS_2","WELL_FEELINGS_3","WELL_FEELINGS_4","WELL_FEELINGS_5","WELL_FEELINGS_6","WELL_ACT_1","WELL_ACT_2","WELL_ACT_3","WELL_ACT_4","WELL_ACT_5","SMS_1","SMS_2","SMS_3","SPEECH_1","SPEECH_2","SPEECH_3","SPEECH_4","party_folded","MAL","PREPOL","COMPROMISE","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_6","ECON_PRE","ENV_PRE","IMMIG_PRE","GUN_PRE","TRUMP_PRE","ECON_POST","ENV_POST","IMMIG_POST","GUN_POST","TRUMP_POST","thermo_dem_PRE","thermo_rep_PRE","thermo_lib_PRE","thermo_con_PRE","thermo_gun_PRE","thermo_immig_PRE","thermo_climate_PRE","thermo_econ_PRE","thermo_trumpissue_PRE","understand_climate_PRE","understand_econ_PRE","understand_gun_PRE","understand_immig_PRE","understand_opideo_PRE","understand_opparty_PRE","understand_ownideo_PRE","understand_ownparty_PRE","understand_trumpissue_PRE","negtrait_otherideo_stupid_PRE","negtrait_otherparty_stupid_PRE","stupid_gun_PRE","stupid_imig_PRE","stupid_econ_PRE","stupid_climate_PRE","stupid_trumpissue_PRE","thermo_issues_PRE","understand_issues_PRE","stupid_issues_PRE","thermo_dem_POST","thermo_rep_POST","thermo_lib_POST","thermo_con_POST","thermo_gun_POST","thermo_immig_POST","thermo_climate_POST","thermo_econ_POST","thermo_trumpissue_POST","understand_climate_POST","understand_econ_POST","understand_gun_POST","understand_immig_POST","understand_opideo_POST","understand_opparty_POST","understand_ownideo_POST","understand_ownparty_POST","understand_trumpissue_POST","negtrait_otherideo_stupid_POST","negtrait_otherparty_stupid_POST","stupid_gun_POST","stupid_imig_POST","stupid_econ_POST","stupid_climate_POST","stupid_trumpissue_POST","thermo_issues_POST","understand_issues_POST","stupid_issues_POST","TRUST_ALL","SPEECH_ALL","SMS_ALL","WELLBEING_ALL","WELLACT_ALL"
"R_2dHe7IvqIWtggsH","lib_c",0,1,6,0,0,0,0,0,0,0,NA,1,1,6,NA,5,6,4,2,0,0,3,7,4,5,6,4,5,4,3,0.6,0,-1,-1,0,-3,-1,0,-1,7,5,4,6.33333333333333,6.33333333333333,11,10.6666666666667,3.66666666666667,3.33333333333333,3,78,84,62,69,81,63,61,79,79,2,6,3,6,5,6,3,6,3,2,1,NA,1,2,NA,NA,72.6,4,NA,19,12,19,16,10,12,10,12,13,5,5,5,7,6,5,5,6,6,3,2,4,5,2,3,3,11.4,5.6,3.4,1,-4.75,5.33333333333333,NA,0.6
"R_YSpJmNcQXMS7gKl","lib_c",0,0,6.25,0,0,0,0,0,0,0,NA,1,2,6,6,6,5,0,1,0,1,7,1,1,1,6,6,6,6,3,0.2,-0.5,1.25,-2,0,-1,0,-1,0,8,1.66666666666667,2.66666666666667,1,1,8,2.33333333333333,2.33333333333333,1.33333333333333,1,100,20,43,21,5,30,21,25,3,3,3,3,3,3,1,6,7,1,3,6,NA,NA,5,4,NA,16.8,2.6,NA,100,0,85,50,36,34,50,25,2,4,4,1,3,5,2,5,7,2,3,1,1,1,3,3,1,29.4,2.8,1.8,0.666666666666667,-6,1,-3.33333333333333,-1
"R_eA7nHLYZsBodPQ5","lib_c",0,0,5.75,0,0,0,0,0,0,0,NA,2,4,4,5,4,5,0,0,0,0,0,4,3,3,5,5,5,5,2,0.6,0.5,1,0,0,0,0,0,0,5,2.66666666666667,5.66666666666667,2,7,5.66666666666667,4,5.33333333333333,2,5.66666666666667,82,66,65,65,25,51,22,40,50,2,4,2,4,4,4,4,4,4,3,2,NA,NA,3,NA,3,37.6,3.2,NA,81,80,60,61,60,61,58,60,82,5,4,4,5,6,6,6,6,6,2,2,2,2,2,2,2,64.2,4.8,2,0,-5,3.33333333333333,-2,0
"R_3EXQD6s6kX5oo1X","cons_c",0,1,6.5,0,0,0,0,0,0,0,NA,7,5,1,2,3,4,0,1,2,0,0,4,4,5,6,6,6,7,2,-0.8,-1.25,-0.25,0,2,-1,1,-2,0,7.33333333333333,1.33333333333333,12.6666666666667,5,12.6666666666667,8,1.33333333333333,9.66666666666667,2.66666666666667,11.3333333333333,19,86,58,65,14,3,5,30,3,2,2,2,1,4,3,4,6,1,4,4,3,6,NA,NA,NA,11,1.6,NA,30,86,41,50,20,48,15,53,28,2,3,4,5,4,4,5,6,4,2,4,6,5,4,6,6,32.8,3.6,5.4,0,-6.25,4.33333333333333,0.333333333333333,0.6
"R_Xn8ATddKSMguBtT","lib_c",0,0,5.25,0,0,0,0,0,0,0,NA,7,7,2,1,1,1,0,1,4,0,0,7,5,7,4,4,4,4,0,0,0,-5.25,0,1,0,0,0,0,4.33333333333333,1,13,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,4,4,NA,4,4,NA,NA,1,1.6,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,4,-0.166666666666667,-4,6.33333333333333,1.5,1
"R_8JpD8JTluxRKr4Z","cons_t",1,5,6,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",4,4,4,4,3,3,0,0,1,2,0,4,4,4,5,5,3,4,3,-1,-1.25,1.75,0,-1,-1,1,0,0,9.66666666666667,6.33333333333333,9.33333333333333,7,12.6666666666667,8.33333333333333,6.33333333333333,8.66666666666667,6.33333333333333,13,13,82,18,55,34,11,19,17,33,4,4,6,2,2,3,7,7,7,4,3,NA,NA,3,3,NA,22.8,4.6,NA,17,72,24,62,25,27,25,33,36,2,2,5,3,3,2,5,6,2,2,3,1,1,1,1,1,29.2,2.8,1,0.166666666666667,-4.25,4,-1,0.6
"R_3D22GCy5ygAsctN","cons_c",0,4,6.25,0,0,0,0,0,0,0,NA,1,2,6,6,7,5,3,0,1,2,5,2,1,1,7,7,7,7,3,0.199999999999999,-2.5,-0.75,-1,0,0,0,-1,1,7,11.6666666666667,12.3333333333333,8.33333333333333,12.6666666666667,7,11,11.3333333333333,10.6666666666667,12.6666666666667,69,91,74,97,62,20,84,9,28,6,1,5,2,6,5,7,4,2,5,5,2,NA,6,NA,NA,40.6,3.2,NA,20,94,82,96,28,27,86,74,51,2,2,3,5,5,5,7,6,6,2,4,3,6,7,4,2,53.2,3.6,4.4,0.166666666666667,-7,1.33333333333333,-3.5,0.2
"R_yyJkJcU02MRF3MJ","lib_t",1,1,4.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,1,6,6,6,6,0,2,0,2,3,1,1,1,7,7,7,7,1,1,-0.5,0,1,1,3,-1,2,2,6.66666666666667,2.33333333333333,7,3.66666666666667,1,7,5,6,3.66666666666667,1,80,80,80,80,80,70,50,70,51,7,7,7,7,7,7,7,7,7,1,1,NA,1,NA,2,NA,64.2,7,NA,81,72,76,72,44,72,45,72,44,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,55.4,6,2,-1.33333333333333,-7,1,-3.66666666666667,0.2
"R_3efBlVNO6BBO957","lib_c",0,2,5.5,0,0,0,0,0,0,0,NA,3,6,5,5,6,6,1,0,1,0,3,6,6,6,6,6,5,5,2,-0.6,1,-1.75,3,1,0,0,0,-2,10.3333333333333,11.3333333333333,12,3.33333333333333,1.33333333333333,5.33333333333333,2.33333333333333,4.33333333333333,2,2.66666666666667,90,50,72,71,50,74,74,63,26,4,6,4,5,6,6,5,5,6,3,4,NA,3,NA,NA,5,57.4,5,NA,40,21,45,81,71,60,63,41,13,6,5,6,5,6,6,5,5,5,4,4,6,5,4,5,5,49.6,5.4,5,-0.333333333333333,-5.5,6,-2.16666666666667,-0.2
"R_2aRovwstBKuC7MG","lib_c",0,2,4.5,0,0,0,0,0,0,0,NA,6,4,3,4,7,5,4,0,2,4,3,5,6,4,7,3,3,5,1,-1.6,-0.75,1,0,2,0,1,1,2,9,8,7.33333333333333,7.33333333333333,1,5,4,5.33333333333333,3.66666666666667,3,83,4,63,56,3,17,34,3,4,5,5,4,6,6,4,5,5,4,6,6,3,NA,6,NA,NA,12.2,4.8,NA,34,40,46,38,58,24,38,62,87,4,6,3,6,6,5,5,3,5,6,4,3,2,7,6,6,53.8,4.8,4.8,-1,-4.5,5,-1.5,1.4
"R_ufvkzpuvMg8DLfX","lib_c",0,0,5.25,0,0,0,0,0,0,0,NA,3,3,6,5,6,5,1,1,0,1,0,5,5,5,5,5,5,5,2,1,0,-0.5,1,-2,1,0,1,1,8,7,7,6.66666666666667,7,6.66666666666667,4.66666666666667,6.66666666666667,3.66666666666667,2.66666666666667,81,22,60,39,43,44,43,49,33,5,5,5,6,6,6,5,5,6,4,5,NA,NA,NA,4,5,42.4,5.4,NA,98,11,84,53,78,79,76,84,80,4,5,5,4,2,6,5,6,5,3,4,4,4,4,4,5,79.4,4.6,4.2,-0.333333333333333,-5,5,-2.66666666666667,0.6
"R_1K2BBdP2vTlKbw2","lib_t",1,0,4.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,1,7,7,6,7,7,2,0,0,0,5,4,1,1,4,3,7,1,1.4,-0.75,0.25,2,2,-2,0,1,2,10.6666666666667,8.33333333333333,4.66666666666667,7.33333333333333,1,4.33333333333333,8,8,7.33333333333333,5,84,1,10,16,30,7,19,16,18,5,6,5,4,5,4,5,5,7,1,2,1,1,NA,NA,NA,18,5.4,NA,26,34,5,28,57,44,36,23,44,2,4,6,6,4,4,4,3,2,2,2,4,5,7,2,4,40.8,4,4.4,-0.833333333333333,-3.75,3.33333333333333,-4.16666666666667,1.8
"R_2zkmeEEdhIlipza","lib_t",1,0,6,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",1,1,6,6,6,6,3,2,0,1,5,5,6,6,5,6,6,5,3,0.2,-0.5,-0.25,0,1,1,2,1,0,8.33333333333333,5.66666666666667,2.33333333333333,3,3,4.33333333333333,2,1.66666666666667,2.33333333333333,2.33333333333333,66,18,47,51,84,68,87,57,69,6,6,6,6,4,2,4,6,6,5,5,NA,NA,NA,5,6,73,6,NA,77,32,53,51,73,80,61,69,82,5,6,6,5,5,6,5,6,6,6,7,6,6,5,6,6,73,5.6,5.8,-0.833333333333333,-5.5,5.66666666666667,-3.66666666666667,0.2
"R_ypvzc40SI9qQ1XP","cons_t",1,2,3.25,1,1,1,1,0,0,4,"Middle Compliance 
(3-4 story surveys)
N = 89",1,1,6,6,6,6,0,1,0,0,2,4,4,4,4,4,4,4,2,0.2,0.25,4,2,1,1,1,1,2,7.33333333333333,6.33333333333333,7.66666666666667,1,1,7.33333333333333,4,7.66666666666667,1,1,52,52,29,80,51,42,48,52,100,5,4,5,5,4,5,5,5,4,1,1,NA,NA,1,NA,1,58.6,4.6,NA,52,52,41,52,52,53,52,54,98,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,61.8,4,2,-1.33333333333333,-4,4,-3.66666666666667,-0.2
"R_1lzt6IUA8v8OOuL","lib_t",1,1,4.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,7,7,7,7,2,0,0,1,2,6,6,2,7,7,6,6,2,1.4,-1,-0.5,0,-1,0,0,0,0,6.33333333333333,1.33333333333333,2.33333333333333,3.33333333333333,2.33333333333333,6.33333333333333,1.33333333333333,2,3.33333333333333,3,94,38,87,43,31,41,15,50,2,3,4,6,3,4,4,6,6,4,4,4,3,NA,NA,3,NA,27.8,4,NA,91,7,85,20,10,20,16,50,3,2,4,3,4,3,5,5,6,4,4,4,3,3,4,3,5,19.8,3.4,3.6,0.166666666666667,-6.5,4.66666666666667,-4.16666666666667,0.2
"R_RqK3b8bWmXaW8KJ","lib_c",0,2,3.5,0,0,0,0,0,0,0,NA,2,2,6,6,5,5,0,0,0,0,0,1,1,1,5,5,5,5,2,0.4,1.5,1.5,0,1,0,1,0,1,6.66666666666667,1.66666666666667,2.66666666666667,1,1,6.33333333333333,1,2.33333333333333,1,1.66666666666667,56,50,59,51,27,53,6,31,15,3,4,2,4,3,4,5,5,4,4,4,NA,3,4,NA,NA,26.4,3.4,NA,76,54,59,45,3,45,22,55,70,4,4,2,4,4,4,5,5,4,1,1,1,1,1,1,6,39,3.6,2,-0.5,-5,1,-3,0
"R_AaMNIcUP6gpn16h","cons_t",1,0,5.5,1,0,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",1,1,5,5,5,5,1,1,0,0,6,4,4,4,4,4,4,4,0,0,0,-0.25,0,1,1,-1,1,1,7,6.33333333333333,9.33333333333333,7,11,7.33333333333333,5.66666666666667,9.66666666666667,7.33333333333333,8.66666666666667,50,50,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,4,4,50,4,NA,50,50,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,50,4,2,-0.5,-4,4,-3,-0.8
"R_3LbS561zEm0bJQZ","lib_t",1,5,6.75,0,1,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",1,1,6,6,7,6,3,3,0,0,5,6,6,7,1,1,1,1,3,0,0.75,0.5,0,0,0,0,-4,-2,2.33333333333333,1,1,1,1,4,1,1,1.33333333333333,1,100,3,100,3,1,3,1,1,2,1,1,1,1,1,1,7,7,1,7,7,NA,7,7,NA,NA,1.6,1,NA,98,1,100,1,4,4,2,2,4,1,1,1,1,1,1,7,7,1,7,7,7,7,7,7,1,3.2,1,5.8,1,-1,6.33333333333333,-3.83333333333333,0.2
"R_2ea6mRslBxgyKcA","cons_t",1,4,2.75,1,0,0,0,0,1,2,"Low Compliance 
(0-2 story surveys)
N = 79",1,4,6,7,7,6,2,0,0,0,3,4,2,2,2,2,2,2,2,0,-0.5,0.75,0,1,-2,-1,0,0,11,13,8.66666666666667,13,13,12.3333333333333,13,9.66666666666667,13,12,7,61,5,97,6,9,20,61,20,5,6,6,6,6,6,6,6,6,2,2,NA,NA,2,NA,2,23.2,5.8,NA,1,71,3,99,4,5,8,3,5,2,2,2,2,1,1,7,4,2,3,5,4,4,4,4,3,5,2,3.8,0.333333333333333,-2,2.66666666666667,-3.5,-0.2
"R_SYMSKvr8PzRFGKJ","lib_t",1,0,4.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,5,5,4,5,2,2,0,0,3,3,2,3,4,5,4,5,0,0.2,0.25,0,0,-1,0,0,0,1,6.66666666666667,5.66666666666667,8.33333333333333,6.33333333333333,5.66666666666667,7,5.66666666666667,7.33333333333333,6.33333333333333,5,48,36,30,15,22,18,6,28,26,3,4,3,4,3,3,5,4,4,5,5,4,NA,NA,4,NA,20,3.6,NA,39,14,22,16,8,16,13,14,6,3,4,3,3,4,4,6,4,3,4,3,3,2,3,4,6,11.4,3.2,3.6,0,-4.5,2.66666666666667,-2.66666666666667,0.2
"R_26hgKzQzh201ErB","cons_t",1,0,6,0,1,1,1,0,0,3,"Middle Compliance 
(3-4 story surveys)
N = 89",4,4,4,4,4,4,0,7,0,1,7,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,8,9,7,7,7,7,7,7,7,7,51,64,66,65,56,40,59,54,73,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,4,56.4,4,NA,50,50,47,50,51,50,49,52,47,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,49.8,4,4,0,-4,4,-1.33333333333333,0.2
"R_eb1khyBqTXOgUqR","cons_t",1,2,7,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",1,1,7,7,7,7,0,2,0,0,5,7,7,7,7,7,7,7,2,0.399999999999999,2.25,6,0,-1,0,0,0,0,3,3,13,1,13,5,5,13,1,13,4,1,3,3,4,5,4,4,4,7,7,7,7,7,7,7,7,7,1,4,NA,NA,4,NA,4,4.2,7,NA,6,97,32,99,7,10,6,7,13,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,8.6,7,7,0.166666666666667,-7,7,-4.33333333333333,-0.6
"R_6yfYiJtCkEVw2MF","lib_t",1,4,6,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,7,7,6,7,0,0,0,0,1,4,4,4,7,7,7,7,3,-0.4,0.5,0.75,-1,-1,0,-1,0,-1,6.66666666666667,1,1.33333333333333,1.33333333333333,1.66666666666667,6.66666666666667,1,1.33333333333333,3.66666666666667,2,99,34,91,30,38,34,0,30,0,1,4,5,3,4,4,7,7,1,3,3,2,NA,2,NA,NA,20.4,2.8,NA,89,20,98,20,20,3,1,36,0,1,4,3,2,3,3,7,7,1,1,1,1,2,2,4,3,12,2.2,2.4,0.666666666666667,-7,4,-4,-0.2
"R_3EgJWYxYAxPzWDq","lib_c",0,1,4.5,0,0,0,0,0,0,0,NA,2,2,3,4,4,4,0,0,0,0,0,2,2,2,7,7,7,7,1,0.2,0,0,0,0,0,-1,0,0,6.33333333333333,1,2,2.33333333333333,1,6,1.66666666666667,2.66666666666667,3.33333333333333,1.33333333333333,74,22,68,61,44,15,18,57,5,2,4,5,3,6,5,6,7,2,2,2,NA,4,NA,NA,4,27.8,3.2,NA,66,22,62,56,27,10,9,47,5,3,5,4,2,5,5,5,6,2,2,2,2,2,2,4,7,19.6,3.2,3.4,0.166666666666667,-7,2,-1.83333333333333,0
"R_1mlV8q9fXjhs1SY","lib_t",1,4,5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,1,6,6,4,5,0,2,0,0,0,4,2,4,6,6,6,6,3,0.399999999999999,-1.5,0.5,-1,0,2,2,0,1,5.66666666666667,2.33333333333333,1.66666666666667,2,1.33333333333333,5.33333333333333,3.33333333333333,2.66666666666667,1.66666666666667,2,80,30,81,10,4,50,5,50,0,3,4,1,4,2,2,7,7,1,4,4,5,NA,4,NA,NA,21.8,2.6,NA,85,8,81,19,10,25,30,60,7,3,3,1,3,1,2,7,7,1,3,4,3,5,2,3,4,26.4,2.2,3.4,-0.666666666666667,-6,3.33333333333333,-3.16666666666667,0.4
"R_NVIEQ8fdAcEROUN","cons_c",0,5,7,0,0,0,0,0,0,0,NA,2,4,4,4,5,5,7,7,0,0,6,7,7,7,1,1,1,1,3,0,-1.25,0,0,0,0,0,-1,0,9,13,13,13,13,9,13,13,13,13,1,100,1,100,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,NA,1,NA,NA,1,1,1,NA,0,100,0,100,0,0,0,0,0,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,0,1,1,0.166666666666667,-1,7,-2,1.6
"R_3iUxZ71XWVgG1ME","lib_t",1,4,3.5,1,1,0,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",2,3,5,5,5,5,0,0,0,0,5,3,3,5,7,7,7,7,2,0.2,0.25,0,0,1,0,0,0,0,8.33333333333333,1,1.33333333333333,1,1,7,1.33333333333333,1.33333333333333,2.33333333333333,1.33333333333333,72,48,81,54,1,6,17,61,70,2,4,2,2,4,4,6,6,1,1,2,NA,4,NA,NA,5,31,2.2,NA,74,29,72,50,10,2,4,50,6,2,4,1,1,5,4,5,5,1,4,2,5,2,2,5,5,14.4,1.8,3.8,-0.166666666666667,-7,3.66666666666667,-2.5,-1
