"ResponseId","URL","FAKE","EXTREMITY","QUALITY","incivility","emotion","sentiment","outlet","is_domain","political","date"
"R_3sdhiZpuaTKx6GZ","https://spectator.org/why-i-pray-for-trump-a-true-hero/","No","Moderate","High quality",0,"0","Positive","The American Spectator",1,1,"2019-09-01"
"R_Rxeu9mMCGAiqu2t","https://www.theblaze.com/news/joe-biden-calls-for-elimination-of-gun-magazines-that-can-hold-multiple-bullets-in-them","Yes","3","Poor quality",0,"0","Negative","The Nation",1,1,"2019-09-02"
"R_20UPtxiHqUIkeij","https://www.theblaze.com/news/alyssa-milano-complains-about-second-amendment-rights-which-passage-of-the-bible-says-its-a-god-given-right-to-own-a-gun-ted-cruz-demolishes-her-argument","Yes","8","Poor quality",0,"Sadness","Negative","The Blaze",1,1,"2019-09-02"
"R_1P7TupKckPCNppn","https://spectator.org/why-i-pray-for-trump-a-true-hero/","Yes","Very Extreme","Very poor quality",0,"Shock","Negative","The American Spectator",1,1,"2019-09-01"
"R_1OpG6Nbt2dQJhKn","https://spectator.org/the-national-popular-vote-con-job/","No","Somewhat extreme","Acceptable quality",0,"0","Neutral","The Nation",1,1,"2019-09-03"
"R_0e4oMaqQHno04ZH","https://www.theblaze.com/u/chrisfield","No","Somewhat extreme","Acceptable quality",0,"Shock","Neutral","The Blaze",1,0,""
"R_3oRqXusjRlyJhTM","https://www.breitbart.com/politics/2019/09/03/walmart-bans-open-carry-asks-white-house-to-pursue-gun-control/","No","2","Poor quality",0,"0","Neutral","Breitbart",1,1,"2019-09-03"
"R_1pnWkWiZ4LshQVE","https://spectator.org/contra-the-remainers-britons-right-to-liberty-justifies-brexit/","No","Somewhat extreme","Poor quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-03"
"R_3Rw150JmYlPHX7z","https://www.breitbart.com/politics/2019/09/03/back-school-day-arlington-va-includes-gender-neutral-sports-uniforms-preferred-pronouns/","No","3","Acceptable quality",0,"0","Negative","Breitbart",1,1,"2019-09-03"
"R_1irDccNrdSTVuFJ","https://spectator.org/the-unmasking-of-bds/","No","Somewhat extreme","Poor quality",0,"Confusion","Negative","The American Spectator",1,1,"2019-08-19"
"R_3Dw6fFxkSTsgIjW","https://www.breitbart.com/politics/2019/09/03/moderate-democrats-resisting-calls-to-support-impeachment/","No","3","High quality",0,"Sadness","Mixed","Breitbart",1,1,"2019-09-03"
"R_2QFkdacd39kuAgO","https://spectator.org/the-gaffable-joe-biden/","Yes","5","Very poor quality",0,"0","Negative","The American Spectator",1,1,"2019-09-04"
"R_27qUwD29xay8ZAe","https://spectator.org/why-michelle-obama-wont-run-in-2020/","No","Moderate","High quality",0,"0","Positive","The American Spectator",1,1,"2019-08-26"
"R_2XiVSVtSaOLdqjL","https://www.breitbart.com/economy/2019/09/04/boy-gives-up-money-saved-for-disney-trip-to-help-feed-dorian-evacuees/","No","Moderate","Acceptable quality",0,"Amazement","Neutral","Breitbart",1,0,""
"R_6hexxxp4HjYILZv","https://breitbart.com","No","3","High quality",0,"Shock","Neutral","Breitbart",1,0,""
"R_3fZTzGXwWUx6bM2","https://www.theblaze.com/news/australian-vegan-sues-neighbors-over-smell-of-bbq","No","3","High quality",0,"Shock","Neutral","The Blaze",1,1,"2019-09-03"
"R_1K7KlBT4gIgXfHP","https://spectator.org/when-truth-goes-hyperbolic/","No","2","Acceptable quality",0,"0","Negative","The American Spectator",1,1,"2019-09-05"
"R_1Fz9WZuJdHbyXHa","https://www.breitbart.com/","Yes","Somewhat extreme","Acceptable quality",0,"Shock","N/A","Breitbart",1,0,""
"R_2S2ZYTjgj6ZENXB","https://www.breitbart.com/sports/2019/09/05/major-league-soccer-team-bans-betsy-ross-flag-calls-it-symbol-hate-groups/","No","Somewhat extreme","Acceptable quality",0,"Confusion","Neutral","Breitbart",1,1,"2019-09-05"
"R_1gTTj4MQjCJMNmh","https://www.breitbart.com/2020-election/2019/09/05/joe-biden-suggests-climate-change-behind-global-genocide-cancer/","No","Somewhat extreme","Poor quality",0,"0","Negative","Breitbart",1,1,"2019-09-05"
"R_3NEZXfgMeXnt9va","https://spectator.org/the-simple-homeless-solution/","No","8","High quality",0,"0","Positive","The American Spectator",1,1,"2019-09-05"
"R_1GOnfrryMvPfbA7","https://uvacommscience.eu.qualtrics.com/jfe/form/SV_9Ss9h9TjwG7kjad?Q_CHL=email&external_id=pennycolorado@yahoo.com","Yes","Very Extreme","Very poor quality",1,"Anger","Negative",NA,0,NA,""
"R_1HqOrSh27f2WL4F","https://breitbart.com","No","Very Extreme","Very high quality",0,"0","Positive","Breitbart",1,0,""
"R_22yUVpz0phNDWGi","https://spectator.org/the-simple-homeless-solution/","No","Moderate","Acceptable quality",0,"Sadness","Neutral","The American Spectator",1,1,"2019-09-05"
"R_T8hr8sgSpvFLK4V","https://www.breitbart.com/politics/2019/09/05/national-democrats-dodge-questions-on-whether-nra-is-a-domestic-terrorist-organization/","No","3","Acceptable quality",0,"0","Negative","The Nation",1,1,"2019-09-05"
"R_1r2ZeknEn6DzXtD","https://www.breitbart.com/politics/2019/09/05/national-democrats-dodge-questions-on-whether-nra-is-a-domestic-terrorist-organization/","Yes","Somewhat extreme","Acceptable quality",0,"0","Negative","The Nation",1,1,"2019-09-05"
"R_24OUHMe0IFDQ4q1","https://www.theblaze.com/news/muslims-says-philly-starbucks-discriminated","No","Moderate","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-05"
"R_1DwnQk4VsWxvska","https://www.theblaze.com/news/active-shooter-drills-could-be-traumatizing-kids","Yes","8","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-06"
"R_2i6a0nM5098HONP","https://spectator.org/the-comey-brennan-conspiracy-to-violate-trumps-civil-rights/","No","5","Acceptable quality",0,"0","Mixed","The American Spectator",1,1,"2019-09-02"
"R_2c8gS7x3lGAJbF7","https://www.theblaze.com/news/petition-to-protect-unborn-eagles-and-unborn-humans","No","Very Extreme","Poor quality",0,"Anger","Negative","The Blaze",1,1,"2019-09-05"
"R_eRlTb0p62Wmg19f","https://spectator.org/comey-tickles-the-wire/","No","5","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-09-06"
"R_1N8KkSNeAj1CfbY","https://www.breitbart.com/politics/2019/09/06/pete-buttigieg-im-not-out-to-be-president-of-gay-america/","No","2","Poor quality",0,"0","Neutral","Breitbart",1,1,"2019-09-06"
"R_0MxH6dATQbIVwIx","https://www.theblaze.com/jon-miller/americans-do-not-want-to-give-up-meat-cars-and-plastic-straws","Yes","Somewhat extreme","Poor quality",0,"Shock","Negative","The Blaze",1,1,"2019-09-06"
"R_1F4HgHWlxx5C4vm","https://www.theblaze.com/news/active-shooter-drills-could-be-traumatizing-kids","No","Moderate","Acceptable quality",0,"Shock","Neutral","The Blaze",1,1,"2019-09-06"
"R_3sgDng8iQxL9I3r","https://www.breitbart.com/clips/2019/09/06/msnbcs-byers-why-are-cnn-jake-tapper-so-fixated-on-sharpie-gate/","No","3","Very poor quality",0,"0","Negative","Breitbart",1,1,"2019-09-06"
"R_2ruQaXG4XKm8F3o","https://spectator.org/save-the-planet-reform-the-endangered-species-act/","No","Very Extreme","Very poor quality",0,"Sadness","Negative","The American Spectator",1,1,"2019-08-31"
"R_1msXkOSigTOviOE","https://www.theblaze.com/news/cnn-kamala-harriss-false-sued-exxon","No","Moderate","High quality",0,"Anger","Negative","The Blaze",1,1,"2019-09-06"
"R_2SfyADCh7xzSBQ8","https://www.breitbart.com/politics/2019/09/06/illegal-alien-convicted-of-stabbing-3-year-old-girl-to-death-on-halloween/","No","Very Extreme","Acceptable quality",0,"0","Negative","Breitbart",1,1,"2019-09-06"
"R_zfpPtcwIs1wZeKd","https://spectator.org/save-the-planet-reform-the-endangered-species-act/","Yes","8","Very poor quality",0,"Anger","Negative","The American Spectator",1,1,"2019-09-06"
"R_1q9wVsVsPdhm8zB","https://spectator.org/explaining-brexit-well-as-much-as-anyone-can/","Yes","Somewhat extreme","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-09-05"
"R_2rYrXIjbIsXZney","https://spectator.org/the-return-of-the-hollywood-blacklist/","No","2","High quality",0,"0","Positive","The American Spectator",1,1,"2019-09-05"
"R_1n7nq7PQCznz7c5","https://www.theblaze.com/news/libs-target-gig-economy-may-take-out-newspapers","No","2","Acceptable quality",0,"0","Neutral","The Blaze",1,1,"2019-09-06"
"R_2f21ARTHQM5UDy0","https://spectator.org/beto-orourke-nazi-obsessed-goofball/","No","8","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-08-30"
"R_3dDRaGHU1f4D6Me","https://www.theblaze.com/eric-bolling/popeyes-chicken-sandwich-sold-out","No","Very Extreme","Very high quality",0,"Shock","Neutral","The Blaze",1,0,""
"R_2cqhi6vOZf8cinP","https://www.theblaze.com/news/drew-brees-called-a-bigot-for-bible-program","No","8","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-01"
"R_6Dqmo6QWJQztJDP","https://www.theblaze.com/news/house-democrats-planning-first-formal-steps-to-impeaching-president-trump","No","2","High quality",0,"0","Positive","The Blaze",1,1,"2019-09-07"
"R_O3uT6l8PNZgnIpX","https://spectator.org/thats-not-funny-well-it-is-to-dave-chappelle/","No","2","High quality",0,"Shock","Positive","The American Spectator",1,1,"2019-09-06"
"R_2AL5I3dc1IjT4d3","https://www.breitbart.com/clips/2019/09/06/david-hogg-todays-mass-shootings-stem-from-americas-ingenious-mass-shootings-and-white-supremacy/","No","2","Acceptable quality",0,"0","Neutral","Breitbart",1,1,"2019-09-06"
"R_3qIFj7sUAnJG62j","https://www.breitbart.com/entertainment/2019/09/07/mick-jagger-blasts-trumps-polarization-rudeness-and-lying/","No","2","High quality",0,"0","Positive","Breitbart",1,1,"2019-09-07"
"R_1OpOO0SOOEI9Zax","https://www.theblaze.com/news/pete-buttigieg-shares-extreme-abortion-defense-then-his-pastor-brother-in-law-fires-back","No","8","High quality",0,"Anxiety","Neutral","The Blaze",1,1,"2019-09-07"
"R_1rIe4XOjLRkIZfo","https://spectator.org/why-i-pray-for-trump-a-true-hero/","No","8","Very poor quality",0,"0","Negative","The American Spectator",1,1,"2019-09-01"
"R_2VkbStyeWlZW2Qi","https://spectator.org/climate-change-town-hall-misdiagnoses-americas-ills/","No","3","Acceptable quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-07"
"R_sO3oocexr8nw86t","https://www.breitbart.com/politics/2019/09/08/report-u-s-government-asks-apple-google-to-hand-over-gun-owner-data/","No","3","Acceptable quality",0,"0","Neutral","Breitbart",1,1,"2019-09-08"
"R_2Qs1Jcz698REv3Z","https://www.theblaze.com/news/kamala-harris-claims-she-didnt-hear-supporter-who-called-trump-mentally-retarded-it-does-not-go-over-well","No","8","High quality",0,"0","Negative","The Blaze",1,1,"2019-09-08"
"R_3sB7qTMKfB9n9iO","https://www.theblaze.com/news/another-republican-launches-campaign-to-challenge-president-trump-for-2020-gop-nomination","No","Moderate","Acceptable quality",0,"0","Neutral","The Nation",1,1,"2019-09-08"
"R_3qfjlRAfuy3TZlC","https://www.breitbart.com/economy/2019/09/08/6-2-million-individuals-off-food-stamps-under-trump/","No","5","Poor quality",0,"0","Negative","Breitbart",1,1,"2019-09-08"
"R_da4CnLHRup8bxo5","https://www.theblaze.com/news/kamala-harris-claims-she-didnt-hear-supporter-who-called-trump-mentally-retarded-it-does-not-go-over-well","No","8","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-08"
"R_29vkmj1XO6qkJK6","https://spectator.org/its-up-to-the-queen-to-resolve-brexit/","No","2","High quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-08"
"R_10SGM1BLWJ8sIoG","https://www.theblaze.com/news/petition-to-protect-unborn-eagles-and-unborn-humans","Yes","Very Extreme","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-05"
"R_rlR71s7ZQ1G85Hz","https://spectator.org/nadlers-fake-impeachment-inquiry/","No","2","High quality",0,"0","Positive","The American Spectator",1,1,"2019-09-09"
"R_2waaPASfurKlEch","https://spectator.org/","No","Somewhat extreme","Acceptable quality",0,"0","Positive","The American Spectator",1,0,""
"R_3oGZm1E6c6j31EH","https://www.theblaze.com/news/federal-government-orders-apple-google-to-turn-over-personal-data-of-everyone-who-downloaded-a-gun-scope-app","Yes","Very Extreme","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-06"
"R_1o4KDYARuNqIPqo","https://spectator.org/nadlers-fake-impeachment-inquiry/","Yes","Somewhat extreme","Poor quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-09"
"R_6MeWl3LyBelJM9b","https://breitbart.com","Yes","Very Extreme","Very poor quality",0,"0","Negative","Breitbart",1,0,""
"R_T6H0CDVS1XZS4yl","https://www.theblaze.com/news/church-that-opposes-drag-queen-story-time-vandalized-with-satanic-symbols-vulgar-phrases-just-days-before-event","Yes","3","Acceptable quality",0,"0","Mixed","The Blaze",1,1,"2019-09-09"
"R_a3idl7zj6qHvPJT","https://www.breitbart.com/politics/2019/09/09/kamala-harris-apologizes-for-laughing-after-voter-called-trumps-actions-mentally-retarded/","No","Very Extreme","Very high quality",0,"0","Neutral","Breitbart",1,1,"2019-09-09"
"R_1mhmyNv1aFOm9hg","https://www.theblaze.com/news/nra-sues-san-francisco-for-labeling-it-a-domestic-terrorist-organization","No","Somewhat extreme","Acceptable quality",0,"Anxiety","Neutral","The Blaze",1,1,"2019-09-09"
"R_3k7AOZl8yQP3jRT","https://www.breitbart.com/health/2019/09/10/california-legislature-considers-free-health-care-for-illegal-alien-seniors/","No","Somewhat extreme","Acceptable quality",0,"0","Positive","Breitbart",1,1,"2019-09-10"
"R_3Nxh8aDo9mHx5S0","https://www.breitbart.com/politics/2019/09/09/watch-tulsi-gabbard-i-dont-support-open-borders-without-secure-borders-we-dont-have-a-country/","No","2","High quality",0,"Confusion","Neutral","Breitbart",1,1,"2019-09-09"
"R_VVHDNSCHsaYDTUJ","https://www.breitbart.com/politics/2019/09/10/trump-says-he-has-fired-john-bolton-as-national-security-advisor/","No","2","Poor quality",0,"0","Negative","The Nation",1,1,"2019-09-10"
"R_ctKlnWTSFzjgBKp","https://www.breitbart.com/politics/2019/09/10/ocasio-cortez-to-republicans-vote-against-impeachment-and-live-with-the-stain-on-your-careers/","No","Very Extreme","Acceptable quality",0,"Anger","Neutral","Breitbart",1,1,"2019-09-10"
"R_20T2niOHvkMVt5F","https://www.theblaze.com/news/boy-gives-money-to-hurricane-victims-disney-steps-up","No","2","High quality",0,"Amazement","Neutral","The Blaze",1,1,"2019-09-10"
"R_12RqmuuiZDBbCXm","https://spectator.org/the-real-warmongers-in-washington/","Yes","8","Poor quality",1,"Confusion","Negative","The American Spectator",1,1,"2019-09-10"
"R_2djbIanVkYCWC1Y","https://www.breitbart.com/politics/2019/09/10/donald-trump-celebrates-dan-bishop-victory-in-north-carolina/","No","5","Acceptable quality",0,"0","Neutral","Breitbart",1,1,"2019-09-10"
"R_2QKHEZdoezxDvRu","https://www.theblaze.com/","No","8","Very high quality",0,"0","Neutral","The Blaze",1,0,""
"R_3ENngZylAxA8HAE","https://www.theblaze.com/news/ted-cruz-blames-deep-state-for-bolton-firing","No","Somewhat extreme","Poor quality",0,"0","Neutral","The Blaze",1,1,"2019-09-10"
"R_3PufKsxXP5mWDXF","https://www.breitbart.com/asia/2019/09/11/chinas-9-11-coverage-u-s-selfish-capricious-and-rude/","No","3","Acceptable quality",0,"0","Negative","Breitbart",1,1,"2019-09-11"
"R_Ofdlb4hTqP0vnGN","https://spectator.org/trump-seeks-fresh-face-for-security-post/","Yes","5","Acceptable quality",0,"Shock","Negative","The American Spectator",1,1,"2019-09-11"
"R_31WUF35YDLxyC0O","https://spectator.org/climate-change-and-the-democrats/","No","2","Acceptable quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-11"
"R_33EdYIWHY5yzfCW","https://www.theblaze.com/news/the-secret-service-arrested-one-of-the-el-paso-survivors-that-trump-invited-to-the-white-house","Yes","3","Poor quality",0,"0","Negative","The Blaze",1,1,"2019-09-11"
"R_2ARz82ZjFvGFyLl","https://www.theblaze.com/news/man-allegedly-follows-teen-girl-from-school-bus-stop-enters-house-but-her-army-vet-dad-also-is-home-and-he-takes-care-of-business","No","Moderate","High quality",0,"0","Neutral","The Blaze",1,1,"2019-09-11"
"R_3EWOdk9qfN6lbws","https://www.theblaze.com/news/watch-new-zealand-firefighters-honor-fallen-9-11-first-responders-with-haka-performance","No","2","Very high quality",0,"0","Neutral","The Blaze",1,1,"2019-09-11"
"R_1jO1yLLf4S8DAGE","https://www.breitbart.com/politics/2019/09/11/photos-national-law-enforcement-officers-memorial-honors-911-fallen-heroes-surviving-families/","No","2","High quality",0,"Amazement","Neutral","The Nation",1,1,"2019-09-11"
"R_1obVsGyyJEaott8","https://www.breitbart.com/economy/2019/09/12/donald-trump-wins-complete-shutdown-of-the-asylum-system/","Yes","Very Extreme","Very poor quality",0,"0","Negative","Breitbart",1,1,"2019-09-12"
"R_1pXrHgy5JiB2toy","https://spectator.org/why-nc-9-should-frighten-the-democrats/","No","5","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-09-12"
"R_2atR8YzVyKkWdmV","https://spectator.org/the-terrorist-as-litigant/","No","Somewhat extreme","High quality",0,"Anger","Neutral","The American Spectator",1,1,"2019-09-12"
"R_1DYm8JYMfh5ueRF","https://spectator.org/why-nc-9-should-frighten-the-democrats/","No","3","Poor quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-12"
"R_Q6RT8qEMpmwxdrH","https://spectator.org/why-nc-9-should-frighten-the-democrats/","Yes","3","High quality",0,"0","Positive","The American Spectator",1,1,"2019-09-12"
"R_2Pc096vhzaZPMxf","https://www.theblaze.com/news/pelosi-angrily-shuts-down-briefing","No","5","Acceptable quality",0,"0","Negative","The Blaze",1,1,"2019-09-12"
"R_w0OsZ675UFKUVcl","https://www.breitbart.com/politics/2019/09/12/elizabeth-warren-senate-must-eliminate-filibuster-pass-gun-control/","No","3","Acceptable quality",0,"0","Neutral","Breitbart",1,1,"2019-09-12"
"R_2rkNm5t8wD5s7ul","https://m.cdn.hear.com/signia_founders/?varid=30006&act=act0000019652act&utm_source=google&utm_medium=gdn&geo=9011864&adgroup=67231843577&Keyword=&MatchType=&position=none&creative=379957895179&network=d&placement=www.theblaze.com&gclid=EAIaIQobChMIvvzbvIrO5AIVN_nhCh34igb_EAEYASAAEgKvRfD_BwE","No","Moderate","High quality",0,"0","Neutral","The Blaze",0,NA,""
"R_1eDFTK8Y2QBbR6o","https://www.theblaze.com/news/transgender-coffee-shop-worker-allegedly-calls-customer-f-ing-bigoted-trash-says-get-out-and-dont-come-back-the-outburst-is-costly","No","Very Extreme","Acceptable quality",0,"0","Positive","The Blaze",1,1,"2019-09-12"
"R_xyiosJrgWx6uKEF","https://www.theblaze.com/news/jay-z-pro-police-remarks","No","Somewhat extreme","Poor quality",0,"0","Neutral","The Blaze",1,1,"2019-09-13"
"R_27UxNALv3Sy7zEM","https://www.breitbart.com/clips/2019/09/12/pelosi-impeachment-is-very-divisive-but-if-we-have-to-go-there-we-will/","No","Moderate","Acceptable quality",0,"0","Neutral","Breitbart",1,1,"2019-09-12"
"R_yDDYFEGAkXCFPVf","https://www.breitbart.com/politics/2019/09/13/beto-orourke-campaign-sells-hell-yes-were-going-to-take-your-ar-15-shirts/","No","Moderate","Very high quality",0,"0","Positive","Breitbart",1,1,"2019-09-13"
"R_29i8RHZZQQSNGLz","https://www.breitbart.com/politics/2019/09/13/greta-thunberg-joins-youth-climate-change-protest-11-minute-die-in-to-mark-years-left-for-earth/","No","5","Very poor quality",0,"0","Negative","Breitbart",1,1,"2019-09-13"
"R_3n6QUU20lqmcyqg","https://spectator.org/hatefest-in-houston/","No","2","Very poor quality",0,"Confusion","Negative","The American Spectator",1,1,"2019-09-13"
